rank,id,gid,GID,role,evaluation_priority,priority_score,reason,why
1,100000003016635100,100000003016635100,100000003016635100,coordinator,0.6329,0.6329,"Rank #1 COORDINATOR: High betweenness (0.0072) bridging 81 counterparties across clusters. Volume: 10,001,062 KZT; return cycle detected. (Part of cluster 2).","Rank #1 COORDINATOR: High betweenness (0.0072) bridging 81 counterparties across clusters. Volume: 10,001,062 KZT; return cycle detected. (Part of cluster 2)."
2,100000006866783100,100000006866783100,100000006866783100,coordinator,0.6064,0.6064,"Rank #2 COORDINATOR: High betweenness (0.0060) bridging 80 counterparties across clusters. Volume: 4,786,849 KZT; return cycle detected. (Part of cluster 0).","Rank #2 COORDINATOR: High betweenness (0.0060) bridging 80 counterparties across clusters. Volume: 4,786,849 KZT; return cycle detected. (Part of cluster 0)."
3,100000003684369100,100000003684369100,100000003684369100,coordinator,0.597,0.597,"Rank #3 COORDINATOR: High betweenness (0.0023) bridging 86 counterparties across clusters. Volume: 12,437,091 KZT; return cycle detected. (Part of cluster 12).","Rank #3 COORDINATOR: High betweenness (0.0023) bridging 86 counterparties across clusters. Volume: 12,437,091 KZT; return cycle detected. (Part of cluster 12)."
4,100000008603629100,100000008603629100,100000008603629100,coordinator,0.5463,0.5463,"Rank #4 COORDINATOR: High betweenness (0.0058) bridging 80 counterparties across clusters. Volume: 6,803,456 KZT; return cycle detected. (Part of cluster 20).","Rank #4 COORDINATOR: High betweenness (0.0058) bridging 80 counterparties across clusters. Volume: 6,803,456 KZT; return cycle detected. (Part of cluster 20)."
5,100000008346837100,100000008346837100,100000008346837100,coordinator,0.5267,0.5267,"Rank #5 COORDINATOR: High betweenness (0.0090) bridging 34 counterparties across clusters. Volume: 1,513,002 KZT; return cycle detected. (Part of cluster 11).","Rank #5 COORDINATOR: High betweenness (0.0090) bridging 34 counterparties across clusters. Volume: 1,513,002 KZT; return cycle detected. (Part of cluster 11)."
6,100000000331309100,100000000331309100,100000000331309100,coordinator,0.38,0.38,"Rank #6 COORDINATOR: High betweenness (0.0046) bridging 104 counterparties across clusters. Volume: 23,986,010 KZT; return cycle detected. (Part of cluster 7).","Rank #6 COORDINATOR: High betweenness (0.0046) bridging 104 counterparties across clusters. Volume: 23,986,010 KZT; return cycle detected. (Part of cluster 7)."
7,100000005910114100,100000005910114100,100000005910114100,coordinator,0.3132,0.3132,"Rank #7 COORDINATOR: High betweenness (0.0058) bridging 22 counterparties across clusters. Volume: 1,796,137 KZT; return cycle detected. (Part of cluster 16).","Rank #7 COORDINATOR: High betweenness (0.0058) bridging 22 counterparties across clusters. Volume: 1,796,137 KZT; return cycle detected. (Part of cluster 16)."
8,100000002224132100,100000002224132100,100000002224132100,peripheral,0.2954,0.2954,"Rank #8 PERIPHERAL: Peripheral flow node with 9 active links (3,951,020 KZT in, 12,115,000 KZT out). (Part of cluster 23).","Rank #8 PERIPHERAL: Peripheral flow node with 9 active links (3,951,020 KZT in, 12,115,000 KZT out). (Part of cluster 23)."
9,100000008477350100,100000008477350100,100000008477350100,coordinator,0.2946,0.2946,"Rank #9 COORDINATOR: High betweenness (0.0025) bridging 50 counterparties across clusters. Volume: 3,984,966 KZT; return cycle detected. (Part of cluster 20).","Rank #9 COORDINATOR: High betweenness (0.0025) bridging 50 counterparties across clusters. Volume: 3,984,966 KZT; return cycle detected. (Part of cluster 20)."
10,100000000343175100,100000000343175100,100000000343175100,coordinator,0.293,0.293,"Rank #10 COORDINATOR: High betweenness (0.0011) bridging 39 counterparties across clusters. Volume: 4,178,751 KZT. (Part of cluster 24).","Rank #10 COORDINATOR: High betweenness (0.0011) bridging 39 counterparties across clusters. Volume: 4,178,751 KZT. (Part of cluster 24)."
11,100000002527114100,100000002527114100,100000002527114100,coordinator,0.2889,0.2889,"Rank #11 COORDINATOR: High betweenness (0.0002) bridging 114 counterparties across clusters. Volume: 3,418,249 KZT; return cycle detected. (Part of cluster 32).","Rank #11 COORDINATOR: High betweenness (0.0002) bridging 114 counterparties across clusters. Volume: 3,418,249 KZT; return cycle detected. (Part of cluster 32)."
12,100000005933757100,100000005933757100,100000005933757100,coordinator,0.2824,0.2824,"Rank #12 COORDINATOR: High betweenness (0.0039) bridging 38 counterparties across clusters. Volume: 4,248,628 KZT; return cycle detected. (Part of cluster 1).","Rank #12 COORDINATOR: High betweenness (0.0039) bridging 38 counterparties across clusters. Volume: 4,248,628 KZT; return cycle detected. (Part of cluster 1)."
13,100000002957787100,100000002957787100,100000002957787100,coordinator,0.2802,0.2802,"Rank #13 COORDINATOR: High betweenness (0.0043) bridging 38 counterparties across clusters. Volume: 1,361,110 KZT; return cycle detected. (Part of cluster 0).","Rank #13 COORDINATOR: High betweenness (0.0043) bridging 38 counterparties across clusters. Volume: 1,361,110 KZT; return cycle detected. (Part of cluster 0)."
14,100000004400305100,100000004400305100,100000004400305100,coordinator,0.2704,0.2704,"Rank #14 COORDINATOR: High betweenness (0.0026) bridging 89 counterparties across clusters. Volume: 6,052,981 KZT; return cycle detected. (Part of cluster 16).","Rank #14 COORDINATOR: High betweenness (0.0026) bridging 89 counterparties across clusters. Volume: 6,052,981 KZT; return cycle detected. (Part of cluster 16)."
15,100000000437046100,100000000437046100,100000000437046100,coordinator,0.2519,0.2519,"Rank #15 COORDINATOR: High betweenness (0.0022) bridging 51 counterparties across clusters. Volume: 8,713,424 KZT; return cycle detected. (Part of cluster 24).","Rank #15 COORDINATOR: High betweenness (0.0022) bridging 51 counterparties across clusters. Volume: 8,713,424 KZT; return cycle detected. (Part of cluster 24)."
16,100000001616816100,100000001616816100,100000001616816100,transit,0.2424,0.2424,"Rank #16 TRANSIT: Receives from 5 payers (176,195 KZT), passes through 103% (181,326 KZT) to 3 accounts. Rapid turnaround (24h). (Part of cluster 6).","Rank #16 TRANSIT: Receives from 5 payers (176,195 KZT), passes through 103% (181,326 KZT) to 3 accounts. Rapid turnaround (24h). (Part of cluster 6)."
17,100000005382566100,100000005382566100,100000005382566100,peripheral,0.241,0.241,"Rank #17 PERIPHERAL: Peripheral flow node with 8 active links (393,066 KZT in, 50,000 KZT out). (Part of cluster 2).","Rank #17 PERIPHERAL: Peripheral flow node with 8 active links (393,066 KZT in, 50,000 KZT out). (Part of cluster 2)."
18,100000008659445100,100000008659445100,100000008659445100,peripheral,0.2221,0.2221,"Rank #18 PERIPHERAL: Peripheral flow node with 7 active links (138,490 KZT in, 875,150 KZT out). (Part of cluster 43).","Rank #18 PERIPHERAL: Peripheral flow node with 7 active links (138,490 KZT in, 875,150 KZT out). (Part of cluster 43)."
19,100000008601794100,100000008601794100,100000008601794100,peripheral,0.2087,0.2087,"Rank #19 PERIPHERAL: Peripheral flow node with 3 active links (494,400 KZT in, 871,400 KZT out). (Part of cluster 42).","Rank #19 PERIPHERAL: Peripheral flow node with 3 active links (494,400 KZT in, 871,400 KZT out). (Part of cluster 42)."
